	TAXA_1	TAXA_2	TAXA_3	TAXA_4	TAXA_5	TAXA_6	TAXA_7	TAXA_8	TAXA_9	TAXA_10	TAXA_11	TAXA_12	TAXA_13	TAXA_14
TAXA_1	0.0	-7.281879463162298e-10	0.0	1.9513852879113998e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_2	0.0	0.0	0.0	4.805481267972633e-10	5.5209869227500994e-11	0.0	0.0	0.0	2.4551943183962026e-10	6.877900355779971e-11	0.0	0.0	7.470680841621336e-11	2.993062380394731e-10
TAXA_3	1.0679151703114874e-09	0.0	0.0	5.685910545948903e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_4	3.008940863784063e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_5	1.000025127663742e-09	1.0890156991330703e-10	0.0	6.33886293862758e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_6	7.354874020830326e-10	0.0	0.0	5.21791536000221e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_7	2.653421890006649e-09	0.0	2.1684066488396255e-10	1.6563015740597056e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.663092575185961e-10	0.0	3.705593715394997e-11
TAXA_8	1.659894141275583e-09	0.0	0.0	7.931335827348739e-10	0.0	0.0	0.0	0.0	1.9148657146637942e-10	0.0	0.0	0.0	0.0	0.0
TAXA_9	1.8316911808449768e-09	0.0	3.1269631822632657e-10	7.935995525981081e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7676662577346444e-10	0.0	0.0
TAXA_10	0.0	0.0	0.0	3.4155729619604366e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_11	1.5270400179493825e-10	5.572385128779773e-10	0.0	5.577344813534669e-10	1.45534565658739e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44327404848686e-11
TAXA_12	1.334878450972273e-09	0.0	2.5905752354943444e-10	9.657510503326993e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_13	1.8931853881703556e-09	0.0	0.0	6.76707550438151e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_14	0.0	0.0	0.0	2.561866309429711e-10	0.0	0.0	0.0	0.0	2.579607942241148e-11	0.0	0.0	0.0	0.0	0.0
