	TAXA_1	TAXA_2	TAXA_3	TAXA_4	TAXA_5	TAXA_6	TAXA_7	TAXA_8	TAXA_9	TAXA_10	TAXA_11	TAXA_12	TAXA_13	TAXA_14
TAXA_1	0.0	-1.0330063035028903e-09	-8.821521662058822e-11	-2.169109641303158e-10	-5.4341644960945355e-11	-4.412696816608125e-11	-4.147052519721423e-12	-2.892749415751377e-12	7.213689171904072e-12	-1.7799226340195635e-11	-5.22004772201467e-11	-2.4631256346385944e-11	-7.46604766890138e-11	-1.1271946797145583e-10
TAXA_2	-1.110892478864059e-09	0.0	-1.697755560215161e-10	-2.8175311364436967e-11	6.946745460006657e-11	3.5825384266527466e-11	-1.4117428473672562e-12	8.380121206347018e-12	1.2786475912485428e-10	3.798046618396039e-11	1.0309143084256164e-11	-1.3392969555915694e-10	7.505703423714825e-11	1.5148824856659037e-10
TAXA_3	4.817933499331378e-10	-2.6640600470368767e-11	0.0	1.2126914570610332e-10	-6.444505338664169e-12	1.945457121518748e-12	2.733152634563671e-13	8.911367722775797e-13	1.7812603474689758e-11	2.558985595372109e-13	7.57188207283883e-12	5.6118282292383815e-11	-5.6401722954111755e-12	-4.49779747756419e-12
TAXA_4	-1.904852740351921e-12	-2.1371841722519688e-11	2.992610304290896e-11	0.0	1.3870693027439708e-11	9.780359731896987e-13	-3.9345751620910053e-13	7.688168363346119e-14	1.195142534262494e-11	7.089571350601289e-13	4.870244798805766e-13	9.073724970039246e-12	-3.4688803685953322e-12	3.931137978441995e-12
TAXA_5	4.1240966130476907e-10	1.0310584264628267e-10	-7.725792271564056e-11	1.3739232955900734e-10	0.0	2.074447676428177e-12	-8.745818747170033e-13	-7.487501964429889e-13	-1.1175711847400202e-10	2.2686950862372367e-12	5.657756571597112e-12	1.8788398262460944e-11	-4.115298726057745e-11	9.577045862676212e-12
TAXA_6	2.4900519138803407e-10	5.4865367602623295e-11	-6.860724609270637e-11	4.6408528671296127e-11	1.8785235045962798e-11	0.0	-2.1483407007605527e-12	5.331861583170956e-13	-1.314048842375544e-11	8.127175008638513e-12	7.562028059120318e-12	1.0009179703062705e-11	-7.148123313560888e-12	4.235355051726592e-11
TAXA_7	1.5873920487575514e-09	3.1713648726576437e-11	9.114770998968398e-11	7.672404349951867e-10	3.235089674357573e-11	3.44419940328509e-12	0.0	1.4518523053035952e-12	9.371767617677363e-13	7.304772108083413e-12	4.2230449605305595e-11	3.893674289267494e-10	-8.235306229892925e-12	5.5453375069364396e-11
TAXA_8	8.692348054021076e-10	-4.963726827983307e-11	9.448193353436106e-12	2.2229990601904028e-10	7.921515801945595e-12	-6.128317184908398e-12	-3.9624790957923194e-12	0.0	1.1285587912744438e-10	1.9640822922119822e-12	4.695746119321645e-12	4.747137843070065e-11	1.7566355517343544e-11	1.0962764542961308e-11
TAXA_9	9.824727000998666e-10	-3.4013909918662144e-11	1.4598963268631685e-10	2.3329359383219423e-10	8.589664002027451e-12	-5.612886717882698e-12	1.5276265120998136e-12	1.4263170670492347e-12	0.0	-1.3398431112320023e-12	7.569633731677178e-12	1.040284229557611e-10	-8.96027576959891e-12	-2.2311346881873236e-11
TAXA_10	-2.9029905090330783e-10	1.0193176339955096e-11	-1.5741212763578554e-10	-5.2571889053732287e-11	1.529697057408997e-11	3.733314341768174e-12	-5.001576556344128e-12	4.1818409442522217e-14	8.705586580906978e-12	0.0	-7.602740025838355e-12	-4.401122918705609e-11	4.05485681887941e-12	4.271518368437403e-11
TAXA_11	-1.9853192759031527e-10	3.0270740789672256e-10	-1.6851856708636648e-10	6.044668441351852e-11	9.693155781320414e-11	1.1679337484209512e-11	-2.5594607040810923e-12	1.2678346246655239e-12	1.1188685987715644e-11	1.9055722203643604e-11	0.0	1.0775070496735806e-11	4.822724631393517e-11	6.164465217432275e-11
TAXA_12	5.865503309910074e-10	4.830082149434111e-12	1.2650498762722846e-10	3.519015000473882e-10	-4.661338005833311e-13	9.964605126346724e-13	-9.198056439874859e-13	-3.884032793267279e-13	5.680306207353956e-12	3.2720683939208543e-12	1.500910634078962e-11	0.0	-1.4757158627662946e-11	2.780572685311681e-11
TAXA_13	9.83919794220324e-10	5.431058821332193e-11	-1.7066535552745416e-11	1.7005038183860235e-10	1.0215044386645164e-11	1.283147111908069e-13	2.8217307505318014e-13	4.750277888643426e-13	-9.690986467506854e-12	2.524708298850319e-13	9.723339276468358e-12	3.211945739850393e-11	0.0	-1.1248407830390653e-11
TAXA_14	-3.995468409334984e-10	-1.3164794696779847e-10	-1.1904729331050848e-10	-1.1180472655346499e-10	4.706186006556754e-11	4.427514678999638e-12	-3.923263406641849e-12	1.8557092269961692e-13	6.569369758902849e-11	4.603082572234552e-12	-1.5728910291027185e-11	-5.91835107095435e-11	3.785578829762342e-11	0.0
