	name	median	mean	25th percentile	75th percentile
0	NA TAXA_1	6.876621346351073e-09	7.146422068831855e-09	5.192490785774759e-09	8.830126039505027e-09
1	NA TAXA_2	2.191437897978282e-09	2.242267461354393e-09	1.8605592290420162e-09	2.5785699328656217e-09
2	NA TAXA_3	3.543537299206671e-09	3.6237794101774664e-09	2.8199932933528785e-09	4.363017991523091e-09
3	NA TAXA_4	2.2152737645915547e-08	2.2614078667760943e-08	1.8921195172188547e-08	2.597060319189105e-08
4	NA TAXA_5	1.8128639124341964e-09	1.840748824329413e-09	1.4801619783216033e-09	2.1633044555177574e-09
5	NA TAXA_6	6.199639564146548e-10	6.362561280591633e-10	4.918206903850303e-10	7.763318371783488e-10
6	NA TAXA_7	2.71225216612677e-10	2.6788105704226727e-10	2.2200768762937377e-10	3.1688682136234287e-10
7	NA TAXA_8	1.0323771113632324e-10	1.1434943468987144e-10	7.997567940773173e-11	1.3503463053313985e-10
8	NA TAXA_9	2.1197480701933114e-09	2.184901796771059e-09	1.6100567944066907e-09	2.6894790932657723e-09
9	NA TAXA_10	2.769663519815551e-10	2.7974833764056764e-10	2.0610605936583082e-10	3.509712798292825e-10
10	NA TAXA_11	5.081155454350556e-10	5.186304405556637e-10	4.0357994518616845e-10	6.226525724945441e-10
11	NA TAXA_12	1.0179861726704722e-09	1.0328206370808671e-09	8.20960893244048e-10	1.2229747379172523e-09
12	NA TAXA_13	2.0906946460585313e-09	2.149317710538215e-09	1.7325605467014521e-09	2.5368568216478473e-09
13	NA TAXA_14	7.990612447286337e-10	8.195426453288092e-10	6.247998813936385e-10	9.820076531635523e-10
14	Mean parameter for the truncated normal prior of the self-interaction parameter	5.5713444189476205e-09	7.70581353884288e-09	2.3677406648039957e-09	1.1010814030247461e-08
