sampleID	measurement1	measurement2	measurement3
idx1	4460000000.0	4750000000.0	6930000000.0
idx2	11600000000.0	4840000000.0	5380000000.0
idx3	5940000000.0	13200000000.0	8790000000.0
idx4	4760000000.0	5120000000.0	2270000000.0
idx5	7650000000.0	2690000000.0	2890000000.0
idx6	253000000.0	1820000000.0	4210000000.0
idx7	5310000000.0	2520000000.0	3120000000.0
idx8	1500000000.0	3090000000.0	7760000000.0
idx9	3110000000.0	17200000000.0	3530000000.0
idx10	5000000000.0	6910000000.0	11700000000.0
idx11	5440000000.0	6000000000.0	6510000000.0
idx12	12200000000.0	10300000000.0	5990000000.0
idx13	5360000000.0	3890000000.0	5830000000.0
idx14	2780000000.0	2930000000.0	503000000.0
idx15	2070000000.0	3990000000.0	5440000000.0
idx16	2540000000.0	3070000000.0	1680000000.0
idx17	4230000000.0	9670000000.0	3480000000.0
idx18	17300000000.0	4380000000.0	4780000000.0
idx19	6420000000.0	9760000000.0	5960000000.0
idx20	6370000000.0	6490000000.0	10800000000.0
idx21	8130000000.0	6290000000.0	5710000000.0
idx22	3760000000.0	9560000000.0	2930000000.0
idx23	4140000000.0	502000000.0	2360000000.0
idx24	4980000000.0	5160000000.0	2050000000.0
idx25	3660000000.0	1510000000.0	7060000000.0
idx26	15600000000.0	11200000000.0	16600000000.0
idx27	4470000000.0	3390000000.0	5030000000.0
idx28	5010000000.0	9820000000.0	3620000000.0
idx29	12700000000.0	7390000000.0	8310000000.0
idx30	4060000000.0	6120000000.0	2280000000.0
idx31	3220000000.0	2610000000.0	3120000000.0
idx32	663000000.0	3380000000.0	3230000000.0
idx33	5420000000.0	2100000000.0	4950000000.0
idx34	3000000000.0	2260000000.0	13000000000.0
idx35	4860000000.0	8780000000.0	4410000000.0
idx36	3150000000.0	5120000000.0	5330000000.0
idx37	10400000000.0	5300000000.0	10900000000.0
idx38	6380000000.0	10400000000.0	4210000000.0
idx39	6480000000.0	2850000000.0	5020000000.0
idx40	3990000000.0	5440000000.0	940000000.0
idx41	3260000000.0	2980000000.0	4510000000.0
idx42	2600000000.0	5320000000.0	2820000000.0
idx43	2810000000.0	19700000000.0	3760000000.0
idx44	12800000000.0	4190000000.0	3370000000.0
idx45	4110000000.0	5740000000.0	10400000000.0
idx46	5170000000.0	11700000000.0	5710000000.0
idx47	10600000000.0	4310000000.0	6860000000.0
idx48	3140000000.0	4320000000.0	4990000000.0
idx49	6620000000.0	1340000000.0	3530000000.0
idx50	3020000000.0	3760000000.0	2590000000.0
idx51	5140000000.0	2940000000.0	3070000000.0
idx52	20200000000.0	3490000000.0	18500000000.0
idx53	6650000000.0	5400000000.0	3020000000.0
idx54	13200000000.0	15800000000.0	8770000000.0
idx55	2210000000.0	9810000000.0	15600000000.0
idx56	4120000000.0	3920000000.0	6370000000.0
idx57	5410000000.0	3440000000.0	5960000000.0
idx58	1420000000.0	2640000000.0	538000000.0
idx59	4420000000.0	4120000000.0	10500000000.0
idx60	2020000000.0	5130000000.0	2330000000.0
idx61	2600000000.0	4690000000.0	5710000000.0
idx62	5490000000.0	3550000000.0	16000000000.0
idx63	15000000000.0	7570000000.0	2400000000.0
idx64	12400000000.0	16300000000.0	3780000000.0
idx65	3500000000.0	5750000000.0	4300000000.0
idx66	3760000000.0	6870000000.0	703000000.0
idx67	2180000000.0	633000000.0	5620000000.0
idx68	4780000000.0	9950000000.0	3790000000.0
idx69	5720000000.0	3250000000.0	2390000000.0
idx70	5060000000.0	4320000000.0	4440000000.0
idx71	4160000000.0	15700000000.0	13700000000.0
idx72	8560000000.0	1680000000.0	13700000000.0
idx73	16900000000.0	3860000000.0	3700000000.0
idx74	6950000000.0	2630000000.0	7960000000.0
idx75	7010000000.0	884000000.0	2310000000.0
idx76	625000000.0	6500000000.0	5140000000.0
idx77	9360000000.0	4040000000.0	7010000000.0
idx78	6900000000.0	3200000000.0	5080000000.0
idx79	3200000000.0	1660000000.0	2910000000.0
idx80	2310000000.0	16700000000.0	9830000000.0
idx81	4940000000.0	11300000000.0	16000000000.0
